"","Faceoffs Won","Faceoffs Lost","Penalties Taken","Penalties Drawn","Hits","Hits Taken","CorsiFor","CorsiAgn","FenwickFor","FenwickAgn","TeamShotFor","TeamShotAgn","TeamGoalFor","TeamGoalAgn","OffZoneStart","NeuZoneStart","DefZoneStart","TOI","team","opponent","date","home","gamecode","Corsi%","CorsiFor60","CorsiAgn60","Corsi+/-","CorsiPace60","Fenwick%","FenwickFor60","FenwickAgn60","Fenwick+/-","FenwickPace60","TeamShotFA%","TeamShotFor60","TeamShotAgn60","TeamShot+/-","TeamGoal%","TeamGoalFor60","TeamGoalAgn60","TeamGoal+/-","Off ZS %","PDO","Faceoff %","OnGoalF%","OnGoalC%","OnIceSh%","OnIceFenSh%","OnIceSv%","Missed Shots","Missed Shots Against","Blocked Shots","Shots Blocked By Team","GameDate"
"2008200920243",33,36,2,4,12,23,77,63,57,44,33,30,5,5,20,24,25,64.95,"N.J","WSH","14198","1","2008200920243",55,71.13,58.2,14,129.33,56.44,52.66,40.65,13,93.3,52.38,30.48,27.71,3,50,4.62,4.62,0,44.44,98.48,47.83,57.89,42.86,15.15,8.77,83.33,24,14,20,19,2008-11-15
"2008200920271",31,26,2,2,19,8,45,40,36,28,19,24,3,1,14,17,26,59.9833333333333,"N.J","FLA","14203","1","2008200920271",52.94,45.01,40.01,5,85.02,56.25,36.01,28.01,8,64.02,44.19,19.01,24.01,-5,75,3,1,2,35,111.62,54.39,52.78,42.22,15.79,8.33,95.83,17,4,9,12,2008-11-20
"2008200920280",32,18,5,8,11,3,66,46,47,35,33,27,5,2,16,19,15,60,"N.J","NYI","14204","1","2008200920280",58.93,66,46,20,112,57.32,47,35,12,82,55,33,27,6,71.43,5,2,3,51.61,107.74,64,70.21,50,15.15,10.64,92.59,14,8,19,11,2008-11-21
"2008200920298",30,28,4,2,18,23,70,49,62,38,45,29,7,3,17,24,17,59.9583333333333,"N.J","T.B","14206","0","2008200920298",58.82,70.05,49.03,21,119.08,62,62.04,38.03,24,100.07,60.81,45.03,29.02,16,70,7,3,4,50,105.21,51.72,72.58,64.29,15.56,11.29,89.66,17,9,8,11,2008-11-23
"2008200920315",27,33,5,4,16,28,58,56,49,46,37,38,3,2,18,15,27,64,"N.J","FLA","14209","0","2008200920315",50.88,54.38,52.5,2,106.88,51.58,45.94,43.12,3,89.06,49.33,34.69,35.62,-1,60,2.81,1.88,1,40,102.84,45,75.51,63.79,8.11,6.12,94.74,12,8,9,10,2008-11-26
"2008200920341",24,31,7,6,36,28,68,61,46,49,30,35,1,4,26,13,16,59.9333333333333,"N.J","PIT","14212","0","2008200920341",52.71,68.08,61.07,7,129.14,48.42,46.05,49.05,-3,95.11,46.15,30.03,35.04,-5,20,1,4,-3,61.9,91.9,43.64,65.22,44.12,3.33,2.17,88.57,16,14,22,12,2008-11-29
"2008200920367",27,35,9,7,16,18,63,63,46,42,31,31,3,2,22,22,18,62.7333333333333,"N.J","PHI","14217","0","2008200920367",50,60.26,60.26,0,120.51,52.27,44,40.17,4,84.17,50,29.65,29.65,0,60,2.87,1.91,1,55,103.23,43.55,67.39,49.21,9.68,6.52,93.55,15,11,17,21,2008-12-04
"2008200920381",19,28,5,4,16,29,62,60,45,38,31,26,2,1,16,13,18,60.4833333333333,"N.J","MTL","14219","0","2008200920381",50.82,61.5,59.52,2,121.03,54.22,44.64,37.7,7,82.34,54.39,30.75,25.79,5,66.67,1.98,0.99,1,47.06,102.61,40.43,68.89,50,6.45,4.44,96.15,14,12,17,22,2008-12-06
"2008200920406",30,28,6,6,6,6,55,43,38,38,32,27,4,1,17,22,19,59.9833333333333,"N.J","PIT","14223","1","2008200920406",56.12,55.02,43.01,12,98.03,50,38.01,38.01,0,76.02,54.24,32.01,27.01,5,80,4,1,3,47.22,108.8,51.72,84.21,58.18,12.5,10.53,96.3,6,11,17,5,2008-12-10
"2008200920422",39,33,14,10,16,7,47,69,38,55,34,36,8,5,13,30,29,59.9833333333333,"N.J","NYR","14225","1","2008200920422",40.52,47.01,69.02,-22,116.03,40.86,38.01,55.02,-17,93.03,48.57,34.01,36.01,-2,61.54,8,5,3,30.95,109.64,54.17,89.47,72.34,23.53,21.05,86.11,4,19,9,14,2008-12-12
"2008200920434",35,21,4,2,17,15,41,46,32,40,22,34,2,4,16,17,23,59.9833333333333,"N.J","BUF","14226","1","2008200920434",47.13,41.01,46.01,-5,87.02,44.44,32.01,40.01,-8,72.02,39.29,22.01,34.01,-12,33.33,2,4,-2,41.03,97.33,62.5,68.75,53.66,9.09,6.25,88.24,10,6,9,6,2008-12-13
"2008200920449",32,19,3,4,29,28,69,59,48,41,27,27,2,2,16,21,14,64.9833333333333,"N.J","TOR","14229","0","2008200920449",53.91,63.71,54.48,10,118.18,53.93,44.32,37.86,7,82.17,50,24.93,24.93,0,50,1.85,1.85,0,53.33,100,62.75,56.25,39.13,7.41,4.17,92.59,21,14,21,18,2008-12-16
"2008200920455",24,32,5,5,17,15,46,52,36,41,30,26,5,3,13,26,17,60,"N.J","BUF","14230","0","2008200920455",46.94,46,52,-6,98,46.75,36,41,-5,77,53.57,30,26,4,62.5,5,3,2,43.33,105.13,42.86,83.33,65.22,16.67,13.89,88.46,6,15,10,11,2008-12-17
"2008200920469",30,20,4,5,13,14,44,40,34,34,26,25,5,1,12,21,17,59.9833333333333,"N.J","OTT","14232","1","2008200920469",52.38,44.01,40.01,4,84.02,50,34.01,34.01,0,68.02,50.98,26.01,25.01,1,83.33,5,1,4,41.38,115.23,60,76.47,59.09,19.23,14.71,96,8,9,10,6,2008-12-19
"2008200920489",41,20,2,7,10,7,51,42,40,36,26,29,2,2,25,16,20,64.95,"N.J","PHI","14234","1","2008200920489",54.84,47.11,38.8,9,85.91,52.63,36.95,33.26,4,70.21,47.27,24.02,26.79,-3,50,1.85,1.85,0,55.56,100.8,67.21,65,50.98,7.69,5,93.1,14,7,11,6,2008-12-21
"2008200920494",26,25,5,4,21,13,42,39,34,33,25,24,0,2,22,12,17,59.9666666666667,"N.J","BOS","14236","1","2008200920494",51.85,42.02,39.02,3,81.05,50.75,34.02,33.02,1,67.04,51.02,25.01,24.01,1,0,0,2,-2,56.41,91.67,50.98,73.53,59.52,0,0,91.67,9,9,8,6,2008-12-23
"2008200920507",24,16,6,6,15,9,59,29,50,24,37,18,0,1,12,12,16,59.9833333333333,"N.J","PIT","14239","1","2008200920507",67.05,59.02,29.01,30,88.02,67.57,50.01,24.01,26,74.02,67.27,37.01,18.01,19,0,0,1,-1,42.86,94.44,60,74,62.71,0,0,94.44,13,6,9,5,2008-12-26
"2008200920520",32,20,4,4,30,36,59,57,53,41,35,33,4,2,16,17,19,59.95,"N.J","NYR","14240","0","2008200920520",50.86,59.05,57.05,2,116.1,56.38,53.04,41.03,12,94.08,51.47,35.03,33.03,2,66.67,4,2,2,45.71,105.37,61.54,66.04,59.32,11.43,7.55,93.94,18,8,6,16,2008-12-27
"2008200920544",25,21,1,3,23,24,55,53,38,44,26,31,4,3,15,16,15,60,"N.J","STL","14243","0","2008200920544",50.93,55,53,2,108,46.34,38,44,-6,82,45.61,26,31,-5,57.14,4,3,1,50,105.71,54.35,68.42,47.27,15.38,10.53,90.32,12,13,17,9,2008-12-30
"2008200920551",25,37,4,4,27,38,46,69,37,62,27,44,2,4,16,19,27,59.95,"N.J","DAL","14244","0","2008200920551",40,46.04,69.06,-23,115.1,37.37,37.03,62.05,-25,99.08,38.03,27.02,44.04,-17,33.33,2,4,-2,37.21,98.32,40.32,72.97,58.7,7.41,5.41,90.91,10,18,9,7,2008-12-31
"2008200920559",28,29,5,4,4,16,48,47,41,38,29,34,4,1,18,17,22,59.9833333333333,"N.J","MTL","14246","1","2008200920559",50.53,48.01,47.01,1,95.03,51.9,41.01,38.01,3,79.02,46.03,29.01,34.01,-5,80,4,1,3,45,110.85,49.12,70.73,60.42,13.79,9.76,97.06,12,4,7,9,2009-01-02
"2008200920578",26,33,5,6,26,22,59,34,47,29,35,20,4,3,20,25,14,61.7166666666667,"N.J","OTT","14248","1","2008200920578",63.44,57.36,33.05,25,90.41,61.84,45.69,28.19,18,73.89,63.64,34.03,19.44,15,57.14,3.89,2.92,1,58.82,96.43,44.07,74.47,59.32,11.43,8.51,85,12,9,12,5,2009-01-04
"2008200920588",26,29,3,2,24,24,62,51,46,36,28,28,2,3,19,21,15,59.95,"N.J","CAR","14250","0","2008200920588",54.87,62.05,51.04,11,113.09,56.1,46.04,36.03,10,82.07,50,28.02,28.02,0,40,2,3,-1,55.88,96.43,47.27,60.87,45.16,7.14,4.35,89.29,18,8,16,15,2009-01-06
"2008200920599",28,36,8,10,19,11,54,37,41,31,29,24,0,4,33,20,11,60,"N.J","ATL","14252","1","2008200920599",59.34,54,37,17,91,56.94,41,31,10,72,54.72,29,24,5,0,0,4,-4,75,83.33,43.75,70.73,53.7,0,0,83.33,12,7,13,6,2009-01-08
"2008200920625",25,29,5,8,19,36,50,62,36,49,28,35,5,1,15,16,23,59.9666666666667,"N.J","L.A","14254","0","2008200920625",44.64,50.03,62.03,-12,112.06,42.35,36.02,49.03,-13,85.05,44.44,28.02,35.02,-7,83.33,5,1,4,39.47,115,46.3,77.78,56,17.86,13.89,97.14,8,14,14,13,2009-01-10
