"","Faceoffs Won","Faceoffs Lost","Penalties Taken","Penalties Drawn","Hits","Hits Taken","CorsiFor","CorsiAgn","FenwickFor","FenwickAgn","TeamShotFor","TeamShotAgn","TeamGoalFor","TeamGoalAgn","OffZoneStart","NeuZoneStart","DefZoneStart","TOI","team","opponent","date","home","gamecode","Corsi%","CorsiFor60","CorsiAgn60","Corsi+/-","CorsiPace60","Fenwick%","FenwickFor60","FenwickAgn60","Fenwick+/-","FenwickPace60","TeamShotFA%","TeamShotFor60","TeamShotAgn60","TeamShot+/-","TeamGoal%","TeamGoalFor60","TeamGoalAgn60","TeamGoal+/-","Off ZS %","PDO","Faceoff %","OnGoalF%","OnGoalC%","OnIceSh%","OnIceFenSh%","OnIceSv%","Missed Shots","Missed Shots Against","Blocked Shots","Shots Blocked By Team","GameDate"
"2008200920267",22,41,8,3,14,15,33,91,28,66,23,51,1,4,12,14,37,59.9333333333333,"COL","CGY","14201","0","2008200920267",26.61,33.04,91.1,-58,124.14,29.79,28.03,66.07,-38,94.1,31.08,23.03,51.06,-28,20,1,4,-3,24.49,96.5,34.92,82.14,69.7,4.35,3.57,92.16,5,15,5,25,2008-11-18
"2008200920276",15,33,8,3,18,11,36,65,24,44,18,33,0,1,16,13,19,59.9416666666667,"COL","CGY","14203","1","2008200920276",35.64,36.04,65.06,-29,101.1,35.29,24.02,44.04,-20,68.07,35.29,18.02,33.03,-15,0,0,1,-1,45.71,96.97,31.25,75,50,0,0,96.97,6,11,12,21,2008-11-20
"2008200920295",29,38,8,7,16,22,63,66,46,47,29,30,3,3,21,20,26,65,"COL","L.A","14205","0","2008200920295",48.84,58.15,60.92,-3,119.08,49.46,42.46,43.38,-1,85.85,49.15,26.77,27.69,-1,50,2.77,2.77,0,44.68,100.34,43.28,63.04,46.03,10.34,6.52,90,17,17,17,19,2008-11-22
"2008200920305",24,27,3,5,10,16,51,41,44,37,30,24,1,4,13,23,15,59.9833333333333,"COL","ANA","14207","0","2008200920305",55.43,51.01,41.01,10,92.03,54.32,44.01,37.01,7,81.02,55.56,30.01,24.01,6,20,1,4,-3,46.43,86.67,47.06,68.18,58.82,3.33,2.27,83.33,14,13,7,4,2008-11-24
"2008200920318",27,16,2,3,18,30,49,50,35,34,28,22,3,1,16,13,14,60,"COL","STL","14209","1","2008200920318",49.49,49,50,-1,99,50.72,35,34,1,69,56,28,22,6,75,3,1,2,53.33,106.17,62.79,80,57.14,10.71,8.57,95.45,7,12,14,16,2008-11-26
"2008200920326",35,16,4,4,15,15,64,49,49,30,38,20,1,2,20,16,15,59.8833333333333,"COL","PHX","14211","0","2008200920326",56.64,64.12,49.1,15,113.22,62.03,49.1,30.06,19,79.15,65.52,38.07,20.04,18,33.33,1,2,-1,57.14,92.63,68.63,77.55,59.38,2.63,2.04,90,11,10,15,19,2008-11-28
"2008200920343",26,22,6,5,18,21,40,50,34,29,31,20,4,3,14,17,17,59.9833333333333,"COL","T.B","14212","1","2008200920343",44.44,40.01,50.01,-10,90.03,53.97,34.01,29.01,5,63.02,60.78,31.01,20.01,11,57.14,4,3,1,45.16,97.9,54.17,91.18,77.5,12.9,11.76,85,3,9,6,21,2008-11-29
"2008200920353",29,33,5,4,15,15,49,43,38,27,31,17,6,5,20,27,15,59.95,"COL","MIN","14214","0","2008200920353",53.26,49.04,43.04,6,92.08,58.46,38.03,27.02,11,65.05,64.58,31.03,17.01,14,54.55,6.01,5,1,57.14,89.94,46.77,81.58,63.27,19.35,15.79,70.59,7,10,11,16,2008-12-01
"2008200920373",21,33,6,4,14,7,37,50,28,34,21,24,2,3,25,18,11,59.9833333333333,"COL","NSH","14217","0","2008200920373",42.53,37.01,50.01,-13,87.02,45.16,28.01,34.01,-6,62.02,46.67,21.01,24.01,-3,40,2,3,-1,69.44,97.02,38.89,75,56.76,9.52,7.14,87.5,7,10,9,16,2008-12-04
"2008200920378",19,26,3,3,13,11,64,48,44,30,27,24,1,1,18,14,13,64.9666666666667,"COL","DAL","14218","0","2008200920378",57.14,59.11,44.33,16,103.44,59.46,40.64,27.71,14,68.34,52.94,24.94,22.17,3,50,0.92,0.92,0,58.06,99.54,42.22,61.36,42.19,3.7,2.27,95.83,17,6,20,18,2008-12-05
